awnd,prcp,snow,snwd,tavg,tmax,tmin,wdf2,wdf5,wsf2,wsf5,weather_id,date_id
12.75,0.0,0.0,0.0,41,43,34,270,280,25.9,35.1,1,1
9.4,0.0,0.0,0.0,36,42,30,260,260,21.0,25.1,2,2
10.29,0.0,0.0,0.0,37,47,28,270,250,23.9,30.0,3,3
17.22,0.0,0.0,0.0,32,35,14,330,330,25.9,33.1,4,4
9.84,0.0,0.0,0.0,19,31,10,360,350,25.1,31.1,5,5
5.37,0.0,0.0,0.0,28,42,15,230,250,12.1,16.1,6,6
3.36,0.0,0.0,0.0,35,46,24,20,360,8.9,10.1,7,7
8.05,0.0,0.0,0.0,38,45,31,20,30,14.1,16.1,8,8
6.71,0.01,0.0,0.0,44,48,38,60,70,13.0,17.0,9,9
15.43,1.77,0.0,0.0,53,65,39,260,270,36.0,42.9,10,10
16.33,0.0,0.0,0.0,36,39,24,270,290,31.1,45.0,11,11
8.72,0.01,0.0,0.0,31,44,22,270,240,35.1,42.9,12,12
18.12,0.0,0.0,0.0,27,31,22,270,260,31.1,44.1,13,13
8.05,0.0,0.0,0.0,28,39,23,250,250,21.0,25.9,14,14
3.8,0.0,0.0,0.0,38,49,29,160,160,10.1,15.0,15,15
11.63,0.26,0.0,0.0,47,55,42,280,310,21.9,28.0,16,16
9.4,0.07,0.7,0.0,38,42,29,320,340,18.1,23.0,17,17
17.22,0.03,0.5,1.2,27,30,18,290,280,29.1,38.0,18,18
19.01,0.0,0.0,0.0,21,31,16,290,280,29.1,40.0,19,19
9.4,0.0,0.0,0.0,31,39,27,300,290,21.9,31.1,20,20
13.42,0.0,0.0,0.0,32,38,26,330,290,23.0,31.1,21,21
10.29,0.03,0.3,0.0,26,30,20,350,330,21.9,29.1,22,22
22.82,1.81,24.0,7.1,26,27,23,10,20,31.1,38.9,23,23
9.4,0.01,0.2,20.1,26,36,17,10,360,25.9,31.1,24,24
2.46,0.0,0.0,18.9,29,37,18,180,300,6.9,13.0,25,25
5.82,0.0,0.0,16.9,35,46,25,230,270,15.0,23.9,26,26
9.62,0.01,0.0,14.2,42,45,32,280,270,21.9,29.1,27,27
4.03,0.0,0.0,9.8,34,42,24,240,240,14.1,18.1,28,28
