"start_station","end_station","total_trips"
"Hamilton Park","Grove St PATH","5742"
"Brunswick St","Grove St PATH","5553"
"McGinley Square","Sip Ave","4728"
"Grove St PATH","Hamilton Park","4135"
"Van Vorst Park","Grove St PATH","3954"
"Sip Ave","McGinley Square","3945"
"Grove St PATH","Brunswick St","3689"
"Essex Light Rail","Exchange Place","3588"
"Exchange Place","Essex Light Rail","3461"
"Grove St PATH","Van Vorst Park","2968"
"Newport PATH","Hamilton Park","2816"
"Morris Canal","Exchange Place","2792"
"Sip Ave","Lincoln Park","2554"
"Hamilton Park","Newport PATH","2202"
"Jersey & 6th St","Grove St PATH","2188"
"Exchange Place","Morris Canal","2096"
"Oakland Ave","Sip Ave","2057"
"Lincoln Park","Sip Ave","1916"
"Monmouth and 6th","Grove St PATH","1813"
"Dixon Mills","Grove St PATH","1715"
"Newport Pkwy","Newport Pkwy","1679"
"Sip Ave","Baldwin at Montgomery","1599"
"Newport PATH","Exchange Place","1580"
"Liberty Light Rail","Grove St PATH","1553"
"Marin Light Rail","Grove St PATH","1550"
"Sip Ave","Oakland Ave","1537"
"Newport Pkwy","Newport PATH","1521"
"JC Medical Center","Grove St PATH","1492"
"Grove St PATH","Liberty Light Rail","1448"
"Newark Ave","Grove St PATH","1428"
"Newport PATH","Newport Pkwy","1414"
"Warren St","Exchange Place","1384"
"Grove St PATH","JC Medical Center","1360"
"Exchange Place","Newport Pkwy","1356"
"Sip Ave","Dey St","1338"
"Liberty Light Rail","Liberty Light Rail","1321"
"Exchange Place","Newport PATH","1310"
"Newport PATH","Warren St","1308"
"Exchange Place","Warren St","1292"
"Grove St PATH","Essex Light Rail","1275"
"Newport Pkwy","Exchange Place","1250"
"Newark Ave","Hamilton Park","1226"
"Grove St PATH","Marin Light Rail","1224"
"Grove St PATH","Monmouth and 6th","1208"
"Grove St PATH","Dixon Mills","1205"
"Baldwin at Montgomery","Sip Ave","1173"
"Dey St","Sip Ave","1160"
"Grove St PATH","Newark Ave","1100"
"Hamilton Park","Exchange Place","1079"
"Warren St","Newport PATH","1055"
"Grove St PATH","Jersey & 6th St","1029"
"Essex Light Rail","Grove St PATH","1019"
"Hamilton Park","Newark Ave","975"
"Newark Ave","Brunswick St","940"
"Exchange Place","Hamilton Park","902"
"Central Ave","Sip Ave","891"
"Sip Ave","Pershing Field","890"
"Van Vorst Park","Exchange Place","870"
"Baldwin at Montgomery","Grove St PATH","869"
"Exchange Place","Exchange Place","868"
"Exchange Place","Liberty Light Rail","856"
