"avg_temp","wind_speed","avg_trip_duration"
21,"21.9","25810.84"
44,"21.9","15895.53"
40,"18.1","6956.94"
52,"15","3649.31"
71,"21","2870.05"
81,"25.9","2806.44"
69,"32","2127.72"
44,"13","2082.92"
46,"14.1","2029.26"
43,"13","2027.68"
50,"19.9","1904.16"
74,"21.9","1698.77"
56,"13","1603.37"
83,"21.9","1590.39"
36,"21","1583.88"
47,"21.9","1464.11"
77,"28","1462.09"
32,"19.9","1461.37"
27,"29.1","1461.11"
39,"33.1","1450.16"
80,"16.1","1445.96"
45,"23","1435.63"
71,"18.1","1427.63"
52,"13","1418.72"
56,"30","1418.03"
54,"16.1","1392.68"
74,"18.1","1284.59"
39,"18.1","1282.29"
58,"33.1","1263.56"
82,"32","1257.18"
36,"31.1","1252.35"
60,"12.1","1246.09"
35,"21.9","1244.96"
81,"18.1","1230.77"
35,"17","1201.46"
80,"18.1","1199.89"
63,"14.1","1188.26"
52,"12.1","1188.01"
72,"14.1","1162.00"
73,"25.9","1160.64"
43,"19.9","1151.25"
72,"15","1129.44"
65,"38","1118.54"
54,"38","1117.66"
66,"32","1116.08"
68,"21.9","1110.87"
87,"18.1","1094.59"
58,"19.9","1093.97"
36,"15","1092.66"
82,"19.9","1090.82"
59,"16.1","1072.81"
40,"25.1","1067.37"
60,"29.1","1048.92"
47,"23","1039.27"
52,"19.9","1029.96"
58,"13","1027.97"
43,"15","1026.15"
77,"36","1025.79"
70,"21.9","1021.55"
72,"23","1012.30"
74,"19.9","999.17"
57,"21","996.49"
62,"14.1","996.03"
79,"25.1","995.97"
62,"15","992.39"
75,"16.1","991.42"
73,"21.9","982.56"
30,"12.1","964.97"
67,"23","961.64"
64,"13","960.94"
49,"23.9","958.42"
47,"19.9","951.68"
80,"15","951.04"
34,"14.1","950.35"
76,"14.1","945.88"
53,"14.1","930.15"
68,"17","928.66"
78,"16.1","928.33"
86,"18.1","927.97"
83,"18.1","920.05"
82,"18.1","899.84"
52,"21","896.81"
53,"28","895.26"
58,"17","881.11"
43,"21","875.61"
51,"32","870.60"
46,"18.1","868.69"
77,"17","865.54"
84,"23","864.22"
43,"28","859.13"
69,"14.1","856.05"
64,"15","846.07"
71,"17","841.71"
80,"17","838.00"
56,"15","836.28"
48,"40","836.27"
37,"23.9","830.11"
57,"23.9","829.15"
89,"31.1","825.50"
69,"13","818.82"
79,"15","814.76"
54,"23.9","804.80"
84,"32","795.79"
82,"36","792.34"
35,"28","781.63"
82,"25.1","781.23"
89,"23","780.59"
57,"18.1","780.52"
75,"17","777.88"
65,"19.9","775.12"
74,"23","765.73"
68,"13","761.63"
74,"14.1","761.23"
61,"14.1","758.12"
81,"21","753.27"
60,"21","750.14"
39,"12.1","744.44"
81,"17","741.32"
78,"29.1","740.22"
73,"17","728.86"
76,"23.9","726.79"
51,"16.1","723.92"
83,"48.1","723.66"
63,"18.1","707.41"
49,"19.9","705.93"
56,"23","702.92"
53,"36","702.43"
74,"17","701.59"
75,"18.1","700.92"
65,"8.1","697.82"
51,"28","692.77"
37,"19.9","691.97"
63,"13","691.64"
78,"8.9","689.90"
73,"15","687.87"
52,"23","684.62"
76,"10.1","681.75"
53,"30","681.66"
81,"19.9","677.01"
62,"12.1","674.87"
81,"36","670.34"
74,"13","668.74"
58,"25.9","666.98"
85,"23.9","665.89"
33,"19.9","664.47"
53,"29.1","663.47"
60,"13","663.00"
48,"21","662.80"
61,"29.1","662.03"
51,"15","659.75"
79,"21","659.68"
21,"29.1","658.84"
76,"13","658.58"
54,"14.1","657.80"
45,"25.1","657.75"
26,"21.9","657.65"
77,"10.1","657.03"
50,"12.1","655.87"
53,"16.1","655.55"
79,"16.1","655.38"
67,"28","654.64"
39,"19.9","654.61"
58,"10.1","647.97"
43,"40.9","645.37"
87,"14.1","644.64"
45,"15","638.13"
70,"15","637.08"
77,"14.1","636.10"
35,"8.9","635.14"
61,"16.1","635.11"
43,"23.9","634.40"
52,"30","634.18"
41,"25.9","633.23"
72,"21.9","632.45"
86,"21","628.05"
76,"15","622.32"
8,"29.1","622.00"
69,"17","620.65"
79,"29.1","619.44"
78,"18.1","617.45"
84,"16.1","615.97"
65,"12.1","613.01"
58,"21.9","612.87"
56,"23.9","610.48"
38,"21.9","609.78"
33,"21.9","609.60"
38,"25.9","607.68"
63,"28","607.52"
80,"23","607.39"
85,"14.1","606.20"
48,"13","600.45"
33,"15","600.29"
40,"23.9","599.27"
75,"13","597.08"
80,"13","596.14"
60,"18.1","592.26"
63,"29.1","590.90"
54,"13","589.57"
76,"17","589.01"
70,"29.1","587.20"
84,"14.1","585.87"
35,"16.1","585.65"
75,"23","584.43"
73,"12.1","584.11"
76,"21.9","580.78"
67,"16.1","580.03"
67,"14.1","577.51"
48,"19.9","575.34"
65,"13","573.61"
73,"19.9","573.11"
18,"14.1","568.10"
